,Squad,H_MP,H_W,H_D,H_L,H_GF,H_GA,H_GD,H_Pts,H_Pts/MP,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,year,home_team_strength,away_team_strength,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
0,Chelsea,19,17,0,2,55,17,38,51,2.68,19,13,3,3,30,16,14,42,2.21,2016-17,1078.9473684210525,1036.8421052631577,1289.4736842105262,910.5263157894736,1157.8947368421052,915.7894736842105
1,Tottenham,19,17,2,0,47,9,38,53,2.79,19,9,6,4,39,17,22,33,1.74,2016-17,1078.9473684210525,994.7368421052632,1247.3684210526317,952.6315789473684,1205.2631578947369,910.5263157894736
2,Manchester City,19,11,7,1,37,17,20,40,2.11,19,12,2,5,43,22,21,38,2.0,2016-17,1015.7894736842104,1026.3157894736842,1194.7368421052631,910.5263157894736,1226.3157894736842,884.2105263157895
3,Liverpool,19,12,5,2,45,18,27,41,2.16,19,10,5,4,33,24,9,35,1.84,2016-17,1026.3157894736842,1005.2631578947368,1236.842105263158,905.2631578947369,1173.6842105263158,873.6842105263158
4,Arsenal,19,14,3,2,39,16,23,45,2.37,19,9,3,7,38,28,10,30,1.58,2016-17,1047.3684210526314,994.7368421052631,1205.2631578947369,915.7894736842105,1200.0,852.6315789473684
5,Manchester Utd,19,8,10,1,26,12,14,34,1.79,19,10,5,4,28,17,11,35,1.84,2016-17,984.2105263157895,1005.2631578947368,1136.842105263158,936.8421052631579,1147.3684210526317,910.5263157894736
6,Everton,19,13,4,2,42,16,26,43,2.26,19,4,6,9,20,28,-8,18,0.95,2016-17,1036.842105263158,942.1052631578948,1221.0526315789475,915.7894736842105,1105.2631578947369,852.6315789473684
7,Southampton,19,6,6,7,17,21,-4,24,1.26,19,6,4,9,24,27,-3,22,1.16,2016-17,963.1578947368421,963.1578947368421,1089.4736842105262,889.4736842105262,1126.3157894736842,857.8947368421052
8,Bournemouth,19,9,4,6,35,29,6,31,1.63,19,3,6,10,20,38,-18,15,0.79,2016-17,994.7368421052633,931.578947368421,1184.2105263157896,847.3684210526316,1105.2631578947369,800.0
9,West Brom,19,9,2,8,27,22,5,29,1.53,19,3,7,9,16,29,-13,16,0.84,2016-17,994.7368421052632,931.578947368421,1142.1052631578948,884.2105263157895,1084.2105263157894,847.3684210526316
10,West Ham,19,7,4,8,19,31,-12,25,1.32,19,5,5,9,28,33,-5,20,1.05,2016-17,973.6842105263158,952.6315789473684,1100.0,836.8421052631579,1147.3684210526317,826.3157894736842
