,Squad,H_MP,H_W,H_D,H_L,H_GF,H_GA,H_GD,H_Pts,H_Pts/MP,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,year,team_strength,home_team_strength,away_team_strength,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
0,Arsenal,3,3,0,0,8,4,4,9,3.0,4,3,0,1,9,3,6,9,2.25,2022-23,1000,1100.0,1050.0,1266.6666666666665,866.6666666666667,1225.0,925.0
1,Manchester City,3,3,0,0,14,2,12,9,3.0,4,2,2,0,9,4,5,8,2.0,2022-23,1000,1100.0,1000.0,1466.6666666666667,933.3333333333334,1225.0,900.0
2,Tottenham,4,4,0,0,13,4,9,12,3.0,3,1,2,0,5,3,2,5,1.67,2022-23,1000,1100.0,966.6666666666666,1325.0,900.0,1166.6666666666667,900.0
3,Brighton,3,2,1,0,6,2,4,7,2.33,3,2,0,1,5,3,2,6,2.0,2022-23,1000,1033.3333333333335,1033.3333333333335,1200.0,933.3333333333334,1166.6666666666667,900.0
4,Manchester Utd,3,2,0,1,6,4,2,6,2.0,3,2,0,1,2,4,-2,6,2.0,2022-23,1000,1033.3333333333335,1033.3333333333335,1200.0,866.6666666666667,1066.6666666666667,866.6666666666667
5,Fulham,3,2,1,0,7,5,2,7,2.33,4,1,1,2,5,6,-1,4,1.0,2022-23,1000,1033.3333333333335,950.0,1233.3333333333333,833.3333333333333,1125.0,850.0
6,Chelsea,3,2,1,0,6,4,2,7,2.33,3,1,0,2,2,5,-3,3,1.0,2022-23,1000,1033.3333333333335,966.6666666666666,1200.0,866.6666666666667,1066.6666666666667,833.3333333333333
7,Liverpool,3,2,1,0,12,2,10,7,2.33,3,0,2,1,3,4,-1,2,0.67,2022-23,1000,1033.3333333333335,900.0,1400.0,933.3333333333334,1100.0,866.6666666666667
8,Brentford,4,2,1,1,10,6,4,7,1.75,3,0,2,1,5,6,-1,2,0.67,2022-23,1000,1000.0,900.0,1250.0,850.0,1166.6666666666667,800.0
9,Newcastle Utd,4,1,3,0,6,4,2,6,1.5,3,0,2,1,2,3,-1,2,0.67,2022-23,1000,950.0,900.0,1150.0,900.0,1066.6666666666667,900.0
10,Leeds United,3,2,1,0,6,2,4,7,2.33,3,0,1,2,4,8,-4,1,0.33,2022-23,1000,1033.3333333333335,900.0,1200.0,933.3333333333334,1133.3333333333333,733.3333333333334
11,Bournemouth,3,1,1,1,2,3,-1,4,1.33,4,1,1,2,4,16,-12,4,1.0,2022-23,1000,966.6666666666665,950.0,1066.6666666666667,900.0,1100.0,600.0
12,Everton,4,1,2,1,2,2,0,5,1.25,3,0,2,1,3,4,-1,2,0.67,2022-23,1000,950.0,900.0,1050.0,950.0,1100.0,866.6666666666667
13,Southampton,3,1,1,1,4,4,0,4,1.33,4,1,0,3,3,7,-4,3,0.75,2022-23,1000,966.6666666666665,950.0,1133.3333333333333,866.6666666666667,1075.0,825.0
14,Aston Villa,4,2,1,1,4,3,1,7,1.75,3,0,0,3,2,7,-5,0,0.0,2022-23,1000,1000.0,900.0,1100.0,925.0,1066.6666666666667,766.6666666666666
15,Crystal Palace,3,1,1,1,4,4,0,4,1.33,3,0,2,1,3,5,-2,2,0.67,2022-23,1000,966.6666666666665,900.0,1133.3333333333333,866.6666666666667,1100.0,833.3333333333333
16,Wolves,4,1,2,1,2,4,-2,5,1.25,3,0,1,2,1,3,-2,1,0.33,2022-23,1000,950.0,900.0,1050.0,900.0,1033.3333333333333,900.0
17,West Ham,3,0,1,2,1,5,-4,1,0.33,4,1,0,3,2,4,-2,3,0.75,2022-23,1000,900.0,950.0,1033.3333333333333,833.3333333333333,1050.0,900.0
18,Nott'ham Forest,4,1,0,3,5,8,-3,3,0.75,3,0,1,2,1,9,-8,1,0.33,2022-23,1000,950.0,900.0,1125.0,800.0,1033.3333333333333,700.0
19,Leicester City,3,0,1,2,3,5,-2,1,0.33,4,0,0,4,7,17,-10,0,0.0,2022-23,1000,900.0,900.0,1100.0,833.3333333333333,1175.0,575.0
