,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,year,Squad
0,29,26.9,58.9,38,418,"3,420",38.0,73,55,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26,2016-17,Arsenal
1,27,27.0,51.5,38,418,"3,420",38.0,53,33,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08,2016-17,Bournemouth
2,27,27.7,40.3,38,418,"3,420",38.0,39,24,33,6,6,0,1,1.03,0.63,1.66,0.87,1.50,2016-17,Burnley
3,24,27.2,55.1,38,418,"3,420",38.0,83,53,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53,2016-17,Chelsea
4,31,27.7,45.4,38,418,"3,420",38.0,48,32,44,4,7,0,0,1.26,0.84,2.11,1.16,2.00,2016-17,Crystal Palace
5,27,27.5,52.1,38,418,"3,420",38.0,58,45,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63,2016-17,Everton
6,28,27.4,45.9,38,418,"3,420",38.0,36,24,33,3,3,0,0,0.95,0.63,1.58,0.87,1.50,2016-17,Hull City
7,25,27.8,41.9,38,418,"3,420",38.0,46,32,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95,2016-17,Leicester City
8,23,26.1,62.0,38,418,"3,420",38.0,77,52,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21,2016-17,Liverpool
9,25,28.5,65.0,38,418,"3,420",38.0,75,54,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21,2016-17,Manchester City
10,31,26.7,56.5,38,418,"3,420",38.0,54,37,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32,2016-17,Manchester Utd
11,27,27.3,47.3,38,418,"3,420",38.0,26,22,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21,2016-17,Middlesbrough
12,26,26.0,54.4,38,418,"3,420",38.0,39,27,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66,2016-17,Southampton
13,26,28.7,46.3,38,418,"3,420",38.0,37,24,33,4,6,0,1,0.97,0.63,1.61,0.87,1.50,2016-17,Stoke City
14,31,26.8,39.7,38,418,"3,420",38.0,28,11,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89,2016-17,Sunderland
15,27,27.4,47.9,38,418,"3,420",38.0,45,31,42,3,3,0,0,1.18,0.82,2.00,1.11,1.92,2016-17,Swansea City
16,24,25.3,60.5,38,418,"3,420",38.0,84,59,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58,2016-17,Tottenham
17,33,29.0,46.1,38,418,"3,420",38.0,39,27,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66,2016-17,Watford
18,23,29.4,37.3,38,418,"3,420",38.0,43,33,42,1,1,0,0,1.13,0.87,2.00,1.11,1.97,2016-17,West Brom
19,29,27.1,47.1,38,418,"3,420",38.0,46,28,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87,2016-17,West Ham
20,30,26.8,61.5,38,418,"3,420",38.0,73,61,69,4,5,,,1.92,1.61,3.53,1.82,3.42,2017-18,Arsenal
21,22,26.9,47.8,38,418,"3,420",38.0,45,36,42,3,3,,,1.18,0.95,2.13,1.11,2.05,2017-18,Bournemouth
22,24,27.5,43.7,38,418,"3,420",38.0,33,25,28,5,7,,,0.87,0.66,1.53,0.74,1.39,2017-18,Brighton
23,24,27.5,43.9,38,418,"3,420",38.0,35,26,35,0,0,,,0.92,0.68,1.61,0.92,1.61,2017-18,Burnley
24,26,26.7,55.4,38,418,"3,420",38.0,60,42,57,3,3,,,1.58,1.11,2.68,1.50,2.61,2017-18,Chelsea
25,28,27.1,45.3,38,418,"3,420",38.0,44,26,36,8,10,,,1.16,0.68,1.84,0.95,1.63,2017-18,Crystal Palace
26,30,26.7,45.9,38,418,"3,420",38.0,42,26,37,5,8,,,1.11,0.68,1.79,0.97,1.66,2017-18,Everton
27,25,26.4,45.7,38,418,"3,420",38.0,25,19,23,2,2,,,0.66,0.50,1.16,0.61,1.11,2017-18,Huddersfield
28,27,27.2,47.9,38,418,"3,420",38.0,53,38,48,5,6,,,1.39,1.00,2.39,1.26,2.26,2017-18,Leicester City
29,27,25.6,60.5,38,418,"3,420",38.0,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,2017-18,Liverpool
30,25,26.4,71.1,38,418,"3,420",38.0,103,85,97,6,8,,,2.71,2.24,4.95,2.55,4.79,2017-18,Manchester City
31,27,26.7,54.8,38,418,"3,420",38.0,67,53,66,1,3,,,1.76,1.39,3.16,1.74,3.13,2017-18,Manchester Utd
32,27,25.6,41.7,38,418,"3,420",38.0,38,29,38,0,1,,,1.00,0.76,1.76,1.00,1.76,2017-18,Newcastle Utd
33,26,26.2,51.5,38,418,"3,420",38.0,36,23,33,3,3,,,0.95,0.61,1.55,0.87,1.47,2017-18,Southampton
34,30,27.5,41.3,38,418,"3,420",38.0,34,28,34,0,3,,,0.89,0.74,1.63,0.89,1.63,2017-18,Stoke City
35,26,27.2,45.2,38,418,"3,420",38.0,27,20,26,1,1,,,0.71,0.53,1.24,0.68,1.21,2017-18,Swansea City
36,25,25.8,61.9,38,418,"3,420",38.0,70,51,68,2,3,,,1.84,1.34,3.18,1.79,3.13,2017-18,Tottenham
37,29,27.9,49.6,38,418,"3,420",38.0,42,27,39,3,6,,,1.11,0.71,1.82,1.03,1.74,2017-18,Watford
38,24,29.1,40.6,38,418,"3,420",38.0,31,24,30,1,1,,,0.82,0.63,1.45,0.79,1.42,2017-18,West Brom
39,27,28.0,45.0,38,418,"3,420",38.0,48,29,46,2,4,,,1.26,0.76,2.03,1.21,1.97,2017-18,West Ham
40,28,26.7,58.0,38,418,"3,420",38.0,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,2018-19,Arsenal
41,28,26.6,46.8,38,418,"3,420",38.0,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,2018-19,Bournemouth
42,21,27.4,42.6,38,418,"3,420",38.0,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,2018-19,Brighton
43,23,28.0,41.2,38,418,"3,420",38.0,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,2018-19,Burnley
44,25,27.7,35.6,38,418,"3,420",38.0,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,2018-19,Cardiff City
45,24,27.3,62.8,38,418,"3,420",38.0,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,2018-19,Chelsea
46,26,27.4,45.0,38,418,"3,420",38.0,48,33,38,10,11,58,2,1.26,0.87,2.13,1.00,1.87,2018-19,Crystal Palace
47,23,25.7,51.5,38,418,"3,420",38.0,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,2018-19,Everton
48,28,26.0,48.6,38,418,"3,420",38.0,33,24,31,2,3,70,2,0.87,0.63,1.50,0.82,1.45,2018-19,Fulham
49,31,26.2,47.0,38,418,"3,420",38.0,20,13,19,1,1,56,4,0.53,0.34,0.87,0.50,0.84,2018-19,Huddersfield
50,25,25.9,51.1,38,418,"3,420",38.0,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,2018-19,Leicester City
51,23,26.1,61.7,38,418,"3,420",38.0,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,2018-19,Liverpool
52,21,26.7,67.8,38,418,"3,420",38.0,91,71,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,2018-19,Manchester City
53,28,26.3,54.5,38,418,"3,420",38.0,65,40,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,2018-19,Manchester Utd
54,24,26.9,40.4,38,418,"3,420",38.0,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,2018-19,Newcastle Utd
55,30,25.4,43.9,38,418,"3,420",38.0,44,27,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,2018-19,Southampton
56,28,26.8,58.9,38,418,"3,420",38.0,66,47,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,2018-19,Tottenham
57,25,28.5,47.1,38,418,"3,420",38.0,51,39,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,2018-19,Watford
58,26,27.6,48.7,38,418,"3,420",38.0,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,2018-19,West Ham
59,21,26.1,46.9,38,418,"3,420",38.0,46,35,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,2018-19,Wolves
60,29,25.8,54.0,38,418,"3,420",38.0,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,2019-20,Arsenal
61,28,25.7,43.9,38,418,"3,420",38.0,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,2019-20,Aston Villa
62,27,25.2,43.8,38,418,"3,420",38.0,38,24,34,4,4,78,3,1.00,0.63,1.63,0.89,1.53,2019-20,Bournemouth
63,25,26.4,52.2,38,418,"3,420",38.0,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,2019-20,Brighton
64,22,28.0,41.4,38,418,"3,420",38.0,41,30,38,3,3,67,0,1.08,0.79,1.87,1.00,1.79,2019-20,Burnley
65,27,25.5,60.7,38,418,"3,420",38.0,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,2019-20,Chelsea
66,25,29.4,44.5,38,418,"3,420",38.0,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,2019-20,Crystal Palace
67,24,25.5,49.2,38,418,"3,420",38.0,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,2019-20,Everton
68,24,26.1,57.6,38,418,"3,420",38.0,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,2019-20,Leicester City
69,24,26.6,63.4,38,418,"3,420",38.0,83,69,78,5,5,38,1,2.18,1.82,4.00,2.05,3.87,2019-20,Liverpool
70,24,26.9,66.9,38,418,"3,420",38.0,100,69,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,2019-20,Manchester City
71,29,24.8,56.2,38,418,"3,420",38.0,65,43,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,2019-20,Manchester Utd
72,28,26.5,38.6,38,418,"3,420",38.0,38,29,38,0,1,66,3,1.00,0.76,1.76,1.00,1.76,2019-20,Newcastle Utd
73,30,26.0,49.3,38,418,"3,420",38.0,25,18,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,2019-20,Norwich City
74,26,26.9,43.1,38,418,"3,420",38.0,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,2019-20,Sheffield United
75,25,25.9,49.3,38,418,"3,420",38.0,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,2019-20,Southampton
76,29,26.7,52.2,38,418,"3,420",38.0,56,39,53,3,4,84,3,1.47,1.03,2.50,1.39,2.42,2019-20,Tottenham
77,26,28.9,42.5,38,418,"3,420",38.0,35,21,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,2019-20,Watford
78,29,27.4,44.0,38,418,"3,420",38.0,49,36,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,2019-20,West Ham
79,21,26.6,48.3,38,418,"3,420",38.0,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,2019-20,Wolves
80,29,25.9,53.8,38,418,"3,420",38.0,53,38,47,6,6,49,5,1.39,1.00,2.39,1.24,2.24,2020-21,Arsenal
81,24,25.2,48.1,38,418,"3,420",38.0,52,38,47,5,6,71,4,1.37,1.00,2.37,1.24,2.24,2020-21,Aston Villa
82,27,25.8,51.3,38,418,"3,420",38.0,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,2020-21,Brighton
83,25,28.3,41.7,38,418,"3,420",38.0,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,2020-21,Burnley
84,27,26.0,61.4,38,418,"3,420",38.0,56,38,48,8,10,51,3,1.47,1.00,2.47,1.26,2.26,2020-21,Chelsea
85,24,29.1,40.1,38,418,"3,420",38.0,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,2020-21,Crystal Palace
86,29,26.3,46.5,38,418,"3,420",38.0,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,2020-21,Everton
87,28,25.2,49.9,38,418,"3,420",38.0,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,2020-21,Fulham
88,23,26.1,57.6,38,418,"3,420",38.0,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,2020-21,Leeds United
89,27,26.5,54.6,38,418,"3,420",38.0,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,2020-21,Leicester City
90,28,26.8,62.4,38,418,"3,420",38.0,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,2020-21,Liverpool
91,24,26.1,63.9,38,418,"3,420",38.0,82,55,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,2020-21,Manchester City
92,29,25.6,55.8,38,418,"3,420",38.0,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,2020-21,Manchester Utd
93,27,27.1,38.2,38,418,"3,420",38.0,44,26,38,6,7,65,3,1.16,0.68,1.84,1.00,1.68,2020-21,Newcastle Utd
94,27,26.7,41.5,38,418,"3,420",38.0,19,13,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,2020-21,Sheffield United
95,29,26.6,52.2,38,418,"3,420",38.0,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,2020-21,Southampton
96,24,27.2,51.7,38,418,"3,420",38.0,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,2020-21,Tottenham
97,30,26.4,37.6,38,418,"3,420",38.0,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,2020-21,West Brom
98,24,27.8,42.9,38,418,"3,420",38.0,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,2020-21,West Ham
99,27,26.3,49.3,38,418,"3,420",38.0,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,2020-21,Wolves
100,27,24.4,53.2,38,418,"3,420",38.0,60,41,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,2021-22,Arsenal
101,31,26.1,46.5,38,418,"3,420",38.0,50,42,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,2021-22,Aston Villa
102,29,25.4,44.5,38,418,"3,420",38.0,46,33,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,2021-22,Brentford
103,26,26.2,54.7,38,418,"3,420",38.0,40,30,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,2021-22,Brighton
104,23,28.5,39.8,38,418,"3,420",38.0,32,26,31,1,2,68,2,0.84,0.68,1.53,0.82,1.50,2021-22,Burnley
105,26,27.4,62.3,38,418,"3,420",38.0,75,52,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,2021-22,Chelsea
106,24,27.1,50.9,38,418,"3,420",38.0,50,31,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,2021-22,Crystal Palace
107,33,26.7,39.7,38,418,"3,420",38.0,42,29,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,2021-22,Everton
108,29,26.1,52.5,38,418,"3,420",38.0,42,26,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,2021-22,Leeds United
109,28,26.5,52.1,38,418,"3,420",38.0,62,46,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,2021-22,Leicester City
110,27,27.7,63.3,38,418,"3,420",38.0,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,2021-22,Liverpool
111,26,27.0,68.5,38,418,"3,420",38.0,96,63,89,7,9,42,1,2.53,1.66,4.18,2.34,4.00,2021-22,Manchester City
112,29,27.2,52.9,38,418,"3,420",38.0,56,46,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,2021-22,Manchester Utd
113,29,27.5,39.9,38,418,"3,420",38.0,41,23,38,3,3,81,2,1.08,0.61,1.68,1.00,1.61,2021-22,Newcastle Utd
114,28,26.2,42.5,38,418,"3,420",38.0,21,16,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,2021-22,Norwich City
115,25,25.7,47.9,38,418,"3,420",38.0,41,26,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,2021-22,Southampton
116,25,26.5,52.0,38,418,"3,420",38.0,63,50,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,2021-22,Tottenham
117,30,28.4,40.3,38,418,"3,420",38.0,33,26,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,2021-22,Watford
